Record_Index,Probability,Predicted_Label,Actual_Label,A2HIGHERED,X3THILANG,X3TCREDGEN,X3THIMATH,S3REPUTATION,S2FR2YPUB,X3TCREDAPIB,Decile
543,0.3122,1,1,50,8,22.5,6,1,1,0.0,9
1302,0.2632,1,0,90,3,11.5,11,2,5,5.0,8
255,0.2208,1,0,99,5,10.0,7,2,1,3.0,7
182,0.1829,1,0,50,6,25.0,12,1,5,4.5,6
413,0.1507,1,0,100,3,23.0,11,1,0,2.5,5
554,0.1273,1,0,100,5,9.0,12,1,5,2.0,4
637,0.1041,1,0,85,7,18.0,13,1,5,5.5,3
1679,0.0857,0,0,80,6,17.0,13,1,1,8.0,2
1372,0.0704,0,0,87,11,13.5,13,1,0,7.0,1
1144,0.0559,0,0,98,12,3.5,13,1,0,10.0,0
